Zeit,Bodenfeuchtigkeit,Luxwert,TopfBeruehrt
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:56,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:57,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,zu feucht,50.0,false
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:58,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:34:59,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:0,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,perfekt,500.0,true
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
16:35:1,zu trocken,1500.0,false
